,1st,2nd,3rd
0,"[0.7793644666993481, '智慧醫療']","[0.7598493445982979, '生技醫藥與精準醫療']","[0.7240371898110665, '防疫']"
1,"[0.867975402837279, '能源']","[0.463598771403713, '化工材料與循環經濟']","[0.46016712378065516, '水資源管理']"
2,"[0.749063042531936, '資安']","[0.7120111157751325, '工研院與A+']","[0.7080461179521678, '智慧製造']"
3,"[0.7159803242603758, '物聯網']","[0.7084100806625977, '網路通訊/4G/5G/5G+/6G']","[0.5761967738846223, '智慧交通']"
4,"[0.6900478493055255, '科研設施']","[0.6832465152993696, '資安']","[0.6810807012671365, '設計']"
5,"[0.7460082634469715, '文化']","[0.6823502129164986, '設計']","[0.6625924745703542, '數位內容']"
6,"[0.7098700134257017, '設計']","[0.703503467734558, '科研設施']","[0.683117136901209, '資安']"
7,"[0.8504358242827051, '災害防救']","[0.7063217220034994, '防疫']","[0.6592655685602365, '國防']"
8,"[0.7936242271797969, '中小(堅)企業輔導']","[0.6760835318305811, '創新創業']","[0.6628204012579944, '工研院與A+']"
9,"[0.9569837877588452, '農業']","[0.9239239446208806, '農業生技']","[0.8603775794383712, '智慧農業']"
10,"[0.7790405878265336, '資安']","[0.6876009538443095, '國防']","[0.6851808704751662, '防疫']"
11,"[0.8168772970984839, '中小(堅)企業輔導']","[0.7905837498804463, '創新創業']","[0.668813092277208, '產業人才培育']"
12,"[0.787643576075806, '智慧醫療']","[0.7133293357762989, '防疫']","[0.6485293603532736, '生技醫藥與精準醫療']"
13,"[0.7575455861898133, '氣候變遷與減碳']","[0.6855594996682535, '能源']","[0.5763722579382039, '環境監測與污染防治']"
14,"[0.7225393433674302, '環境監測與污染防治']","[0.6825506825499816, '防疫']","[0.5453074739251791, '水資源管理']"
15,"[0.6912498440553229, '校園人才培育']","[0.6736669606684855, '工研院與A+']","[0.6681460398100779, '數位學習']"
16,"[0.7879589537511547, '科研設施']","[0.7260388338169301, '科研計畫補助']","[0.7259115738366683, '工研院與A+']"
17,"[0.7230189132538589, '防疫']","[0.6899616588950411, '國防']","[0.5848702921249245, '災害防救']"
18,"[0.8364030611024339, '晶片半導體']","[0.6597631671988705, '設計']","[0.6513167679178162, '科研設施']"
19,"[0.6579010415872578, '科研設施']","[0.5815960205480347, '能源']","[0.5751203117277346, '智慧顯示器']"
20,"[0.9445604997264462, '防疫']","[0.5619680860764822, '災害防救']","[0.49345966296003446, '生技醫藥與精準醫療']"
21,"[0.7990228360624658, '水資源管理']","[0.5591541093008475, '海洋科技']","[0.31655363931113545, '氣候變遷與減碳']"
22,"[0.8930652829976797, '專利與智財']","[0.5426800021816953, '創新創業']","[0.3450820957076086, '晶片半導體']"
23,"[0.7334396302891533, '智慧交通']","[0.710678245383663, '資安']","[0.6998471179200668, '智慧製造']"
24,"[0.5803897175532842, '災害防救']","[0.3786524860507595, '氣候變遷與減碳']",
25,"[0.8159542553032271, '智慧製造']","[0.7005006037250542, '智慧顯示器']","[0.6560762528761179, '智慧交通']"
26,"[0.6283998142283114, 'AI、雲端、巨量資料']","[0.5637119066220126, '智慧顯示器']","[0.5532572433976973, '國家標準檢驗']"
27,"[0.6522534233045091, '物聯網']","[0.6465004720785884, '國防']","[0.6393627011910616, '中小(堅)企業輔導']"
28,"[0.834609741731877, '園區管理']","[0.7261205736796985, '科研設施']","[0.6328573949624993, '設計']"
29,"[0.7742268434808693, '食品安全與食品科技']","[0.6227442271360453, '農業']","[0.6042442129286072, '農業生技']"
30,"[0.7236777455715018, '資安']","[0.6499345844984286, '防疫']","[0.6061855953629345, '災害防救']"
31,"[0.7381278176749213, '工研院與A+']","[0.7107169853947046, '資安']","[0.6281405971047321, '校園人才培育']"
32,"[0.7549711971732826, '國家標準檢驗']","[0.7060624918171111, '工研院與A+']","[0.6825391241355794, '資安']"
33,"[0.7622425922815377, '電商與物流']","[0.7544946529454233, '運輸載具']","[0.6121343133863004, '智慧交通']"
34,"[0.8258034009216976, '防疫']","[0.512006271501056, '生技醫藥與精準醫療']",
35,"[0.9022771685173323, '海洋科技']","[0.5335198531593641, '水資源管理']","[0.44913470257314125, '太空/衛星']"
36,"[0.7773357012470742, '太空/衛星']","[0.5094280773999863, '虛擬實境']","[0.44304597148252645, '自動駕駛']"
37,"[0.6772221235040536, '災害防救']",,
38,"[0.5311916965368415, '智慧農業']","[0.5099514242608714, '農業生技']","[0.5099240809802867, '創新創業']"
39,"[0.6557734781109871, '職安']","[0.6130416316411361, '中小(堅)企業輔導']","[0.5944823128940517, '人才補助與延攬']"
40,"[0.6483605249186919, '中小(堅)企業輔導']","[0.59288787875528, '創新創業']","[0.5687987885098423, '物聯網']"
41,"[0.7005417392534954, '資安']","[0.6754230441421171, '國防']","[0.6161008365894511, '政策規劃與推動']"
42,"[0.6795697026116436, '化工材料與循環經濟']","[0.5468168055414002, '能源']","[0.4866885678016305, '農業生技']"
43,"[0.5938095503612514, '農業生技']","[0.569475849711782, '農業']","[0.5294684556115029, '生技醫藥與精準醫療']"
44,"[0.7105756236124003, '防疫']","[0.6515782420130987, '科研設施']","[0.5639695029496028, '智慧醫療']"
45,"[0.6774050830217211, '園區管理']","[0.5605919053724926, '農業生技']","[0.5552794069862664, '農業']"
46,"[0.754992818556874, '自動駕駛']","[0.7350738283670191, '運輸載具']","[0.67490247889204, '智慧交通']"
47,"[0.5696047134428011, '食品安全與食品科技']","[0.5461707562580083, '農業']","[0.5237444127628081, '智慧農業']"
48,"[0.7269537104893051, '運輸載具']","[0.6285174863045246, '智慧交通']","[0.588143595426089, '海洋科技']"
49,"[0.7311966228420869, '農業']","[0.7309577921996309, '農業生技']","[0.6560435691032988, '智慧農業']"
