計劃編號,計劃名稱,True Label,Predict Label,Predict Probability,First 5 Label,First 5 Probability
MP10802-0216,建立多模組運輸事故調查能量計畫(1/4),警政與法務,警政與法務,0.97,警政與法務;資安;災害防救;專利與智財;化工材料與循環經濟,0.97;0.004;0.003;0.003;0.003
MP10906-0004,整合智慧讀表平台發展計畫(1/4),能源;國家標準檢驗,能源;國家標準檢驗,0.979;0.956,能源;國家標準檢驗;智慧醫療;網路通訊/4G/5G/5G+/6G;氣候變遷與減碳,0.979;0.956;0.011;0.008;0.006
MP10401-0230,產業升級轉型行動計畫(1/4),傳統產業高值化,傳統產業高值化,0.967,傳統產業高值化;運輸載具;化工材料與循環經濟;電商與物流;能源,0.967;0.005;0.003;0.003;0.002
MP10503-0019,加速行動寬頻服務及產業發展計畫(1/3)-推動中小企業4G行動商務應用服務計畫,電商與物流,電商與物流,0.974,電商與物流;智慧農業;數位轉型與智慧政府;農業;網路通訊/4G/5G/5G+/6G,0.974;0.004;0.003;0.003;0.002
MP10902-0178,地價查估技術精進與實價登錄資料應用發展計畫(4/5),數位轉型與智慧政府,數位轉型與智慧政府,0.987,數位轉型與智慧政府;產業人才培育;電商與物流;中小（堅）企業輔導;物聯網,0.987;0.002;0.002;0.001;0.001
MP10212-0192,生技醫藥國家型科技計畫 - 研究群組暨資源中心年度綱要計畫(5/6),生技醫藥與精準醫療,生技醫藥與精準醫療,0.992,生技醫藥與精準醫療;產業人才培育;長照與社會福利;工研院與A+;科研設施,0.992;0.001;0.001;0.001;0.001
CP10802-0005,基礎科學研究計畫(1/1),科研計畫補助,科研計畫補助,0.968,科研計畫補助;人才補助與延攬;科研設施;太空/衛星;校園人才培育,0.968;0.004;0.004;0.003;0.003
MP1021-0031,強化坡地環境地質與防災應用(4/4),災害防救,災害防救,0.993,災害防救;網路通訊/4G/5G/5G+/6G;氣候變遷與減碳;物聯網;政策規劃與推動,0.993;0.002;0.002;0.001;0.001
MP10704-0091,海空運輸系統營運效能與技術提升科技研發計畫(1/4),智慧交通,智慧交通,0.914,智慧交通;自動駕駛;氣候變遷與減碳;數位轉型與智慧政府;環境監測與污染防治,0.914;0.007;0.006;0.006;0.005
MP10707-0036,建構民生公共物聯網(2/4),災害防救;物聯網,災害防救;物聯網,0.955;0.917,災害防救;物聯網;虛擬實境;氣候變遷與減碳;警政與法務,0.955;0.917;0.021;0.01;0.009
MP10704-0106,智能電動車輛產業推動計畫(1/4),運輸載具,運輸載具,0.963,運輸載具;國防;傳統產業高值化;災害防救;智慧交通,0.963;0.009;0.008;0.004;0.003
MP10704-0001,打開歷史任意門：臺灣歷史創新科技體驗建置計畫(3/4),文化,文化,0.975,文化;生技醫藥與精準醫療;政策規劃與推動;數位內容;科研計畫補助,0.975;0.003;0.003;0.002;0.002
CP1022-0300,實驗動物模式暨轉譯醫學之研究(4/6),生技醫藥與精準醫療,生技醫藥與精準醫療,0.992,生技醫藥與精準醫療;長照與社會福利;產業人才培育;工研院與A+;文化,0.992;0.001;0.001;0.001;0.001
MP10802-0046,製造智慧化關鍵技術躍升綱要計畫(4/4),智慧製造,智慧製造,0.971,智慧製造;產業人才培育;太空/衛星;網路通訊/4G/5G/5G+/6G;晶片半導體,0.971;0.005;0.003;0.002;0.002
MP10906-0013,強化偏鄉地區5G寬頻服務與涵蓋─補助業者於偏鄉地區建置行動寬頻基地臺計畫(1/5),網路通訊/4G/5G/5G+/6G,網路通訊/4G/5G/5G+/6G,0.987,網路通訊/4G/5G/5G+/6G;長照與社會福利;災害防救;產業人才培育;國家標準檢驗,0.987;0.002;0.002;0.002;0.001
CP10703-0113,建構民生公共物聯網計畫(3/4),災害防救;物聯網,災害防救;物聯網,0.976;0.913,災害防救;物聯網;虛擬實境;氣候變遷與減碳;警政與法務,0.976;0.913;0.023;0.014;0.011
MP1021-0096,重要活動斷層構造特性調查研究(4/4),災害防救,災害防救,0.991,災害防救;網路通訊/4G/5G/5G+/6G;氣候變遷與減碳;政策規劃與推動;物聯網,0.991;0.002;0.001;0.001;0.001
MP10602-0083,新世代化學材料產業輔導與推廣計畫(3/4),化工材料與循環經濟,化工材料與循環經濟,0.974,化工材料與循環經濟;氣候變遷與減碳;水資源管理;農業;傳統產業高值化,0.974;0.003;0.003;0.002;0.002
